City_ID,City,Lat,Lng,Max Temp,Weather Description,Humidity,Cloudiness,Wind Speed,Country,Date
62,Bethel,41.3712,-73.414,43.02,clear sky,78,1,3.44,US,2021-11-05 04:17:36
63,Mabaruma,8.2,-59.7833,72.84,overcast clouds,97,89,2.51,GY,2021-11-05 04:21:26
64,Calabasas,34.1578,-118.6384,71.35,clear sky,59,1,4.61,US,2021-11-05 04:21:26
65,Makueni,-1.8041,37.6203,64.67,light rain,91,84,3.58,KE,2021-11-05 04:21:26
66,Manggar,-2.8833,108.2667,85.77,moderate rain,63,100,1.36,ID,2021-11-05 04:21:27
67,Breytovo,58.2993,37.8617,41.88,light rain,86,100,11.14,RU,2021-11-05 04:21:12
68,Quatre Cocos,-20.2078,57.7625,77.11,scattered clouds,79,36,8.01,MU,2021-11-05 04:21:28
69,Port Elizabeth,-33.918,25.5701,59.29,clear sky,82,0,8.05,ZA,2021-11-05 04:21:28
70,Lorengau,-2.0226,147.2712,83.89,overcast clouds,68,100,10.76,PG,2021-11-05 04:18:03
71,Tiksi,71.6872,128.8694,6.49,broken clouds,71,78,25.32,RU,2021-11-05 04:21:29
72,Qaanaaq,77.484,-69.3632,10.65,clear sky,55,1,9.62,GL,2021-11-05 04:21:29
73,Miquelon,47.0975,-56.3814,45.03,broken clouds,61,79,18.37,PM,2021-11-05 04:21:30
74,Mochicahui,25.9333,-108.9333,71.42,clear sky,63,0,4.18,MX,2021-11-05 04:21:30
75,Hermanus,-34.4187,19.2345,58.89,overcast clouds,80,100,7.27,ZA,2021-11-05 04:21:30
76,Cidreira,-30.1811,-50.2056,68.63,broken clouds,93,57,14.94,BR,2021-11-05 04:21:31
77,Bredasdorp,-34.5322,20.0403,58.32,overcast clouds,88,99,3.44,ZA,2021-11-05 04:21:32
78,Albany,42.6001,-73.9662,34.59,scattered clouds,87,44,3.69,US,2021-11-05 04:17:21
79,Sao Filipe,14.8961,-24.4956,78.69,scattered clouds,72,42,4.99,CV,2021-11-05 04:21:32
80,Fairbanks,64.8378,-147.7164,30.2,broken clouds,86,75,0.0,US,2021-11-05 04:20:25
81,Manavalakurichi,8.1333,77.3,84.29,overcast clouds,75,99,3.98,IN,2021-11-05 04:21:33
82,Yellowknife,62.456,-114.3525,33.42,overcast clouds,96,90,13.8,CA,2021-11-05 04:21:34
83,Asyut,27.181,31.1837,66.56,clear sky,79,0,8.3,EG,2021-11-05 04:21:34
84,Qasigiannguit,68.8193,-51.1922,26.85,overcast clouds,92,100,5.95,GL,2021-11-05 04:21:34
85,Tacuarembo,-31.7333,-55.9833,62.89,clear sky,93,3,3.47,UY,2021-11-05 04:21:35
